﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7JpamxZNBoytw1EOVG0luc","Epigram","Krakota, Urbandawn","Focus Shift","1","4","215270","spotify:user:outrightmental","2019-11-27T00:20:23Z"
"spotify:track:0sFIHSbDWtF9rVzY2Wc1lY","Paladin","Krakota, Urbandawn","Focus Shift","1","5","270209","spotify:user:outrightmental","2019-11-27T00:32:47Z"
"spotify:track:3zATTkC8vc4uAg7Rh30Hku","Pressure Plate - Original Mix","Judda","Pressure Plate","1","1","339106","spotify:user:outrightmental","2019-11-27T00:40:29Z"
"spotify:track:2XGRrujxCGFJDoGiT5sd9d","Solid Shout","Judd, Krakota","Solid Shout / Callow","1","1","319337","spotify:user:outrightmental","2019-11-27T01:12:37Z"
"spotify:track:0AAjailUx0lBp4VVJWGvAu","Riggers","Anile","No Code","1","2","315224","spotify:user:outrightmental","2019-11-27T18:37:56Z"
"spotify:track:0a37lycgVitcIZunuhA2o2","Nothing Makes Sense","Anile","Sheets of Empty Canvas","1","3","355211","spotify:user:outrightmental","2019-11-27T19:24:49Z"
"spotify:track:6LM4yGAjPyTTXO87ExiueF","Allergens","Anile","Allergens","1","3","271769","spotify:user:outrightmental","2019-11-27T19:57:58Z"
"spotify:track:1A8reG5zdKAq7lQsiaAVtH","Lyssakses","Anile, Blu Mar Ten","Lyssakses","1","1","324349","spotify:user:outrightmental","2019-11-27T20:11:37Z"
"spotify:track:2sRHuxqfBw5PCYvzCjnwDo","Universe","Marcus Intalex, ST Files","15 Years of Metalheadz","1","9","450626","spotify:user:outrightmental","2019-11-29T19:34:21Z"
"spotify:track:1NYcoSXeLuZjoPgyeb51ZF","FMS","Phace","Between","1","6","206860","spotify:user:outrightmental","2019-12-02T22:22:18Z"
"spotify:track:66zOBwYzIaiUiNlgdVSb6y","Shelf Life","Phace","Between","1","10","216279","spotify:user:outrightmental","2019-12-02T22:45:24Z"
"spotify:track:7GheXvWwkJgbm4SV8qWKTZ","Isolated","Phace","Between","1","11","256744","spotify:user:outrightmental","2019-12-02T22:45:38Z"
"spotify:track:0MubfDyRykCcfwHXw6VtsT","Reservoir","Phace","Psycho (Deluxe Edition)","1","2","353503","spotify:user:outrightmental","2019-12-02T23:14:24Z"
"spotify:track:7v9IlaNMDpWHPBdGI5xfqG","Crevice","Phace, Noisia","Psycho (Deluxe Edition)","1","9","425293","spotify:user:outrightmental","2019-12-02T23:47:10Z"
"spotify:track:3nDekuGslkknTS9MMMX9YI","Guitar Track","Kings Of The Rollers","Kings Of The Rollers","1","5","314057","spotify:user:outrightmental","2019-12-03T03:24:29Z"
"spotify:track:3oZImgMZxjTqEW7xXLdcZq","Chasing","Posij","Cocoon","1","2","181395","spotify:user:outrightmental","2019-12-03T17:32:03Z"
"spotify:track:5vsX9ahB57Gdc7s3Ny6cn8","No Cats","Posij","Chrysalis","1","1","273488","spotify:user:outrightmental","2019-12-03T18:08:40Z"
"spotify:track:3DhXKMYb49Sj1jHMiuq7b2","Nighthorse","Posij","Chrysalis","1","2","272093","spotify:user:outrightmental","2019-12-03T18:13:26Z"
"spotify:track:3bSo90o7WAuRkVu0I6CZwg","Bolt","Posij","Chrysalis","1","3","274186","spotify:user:outrightmental","2019-12-03T18:32:56Z"
"spotify:track:5hBeIsZntxV80vKvpnF5cG","The Panic","Posij","Chrysalis","1","4","358297","spotify:user:outrightmental","2019-12-03T18:32:56Z"
"spotify:track:09g5Jek4E5QjYC32ky0yjy","Derivative","Posij","Pulp","1","1","293023","spotify:user:outrightmental","2019-12-03T18:33:03Z"
"spotify:track:3fns2OFBY94v055tjNOIQz","Attention","Posij","Attention","1","1","252558","spotify:user:outrightmental","2019-12-03T20:03:53Z"
"spotify:track:0hWQZ4EOGyA3V5QfjVJtiX","Rover","Posij","Critical Presents: Binary Vol.5","1","4","212093","spotify:user:outrightmental","2019-12-03T20:29:33Z"
"spotify:track:5pANAycAmvPB941ViVtepv","Windforce - Original Mix","Posij","Lasercat","1","3","209913","spotify:user:outrightmental","2019-12-03T20:34:55Z"
"spotify:track:5aUBkiYW7U8BynpmyEgt3h","Untitled Horn","SpectraSoul","Untitled Horn","1","1","319418","spotify:user:outrightmental","2019-12-09T21:07:41Z"
"spotify:track:4BTIGN5lraOtbKVo9Zg61R","Halogen","Spor","Conquerors & Commoners - EP","1","4","269612","spotify:user:outrightmental","2019-12-11T06:52:25Z"
"spotify:track:6kVtJaKB5vqvXvcj0lIOmb","Blueroom","Spor","Caligo","1","6","315718","spotify:user:outrightmental","2019-12-11T07:09:29Z"
"spotify:track:6sPzkx2QjMF5xETc43FEBI","Know You","Spor","Black Eyed","1","2","291434","spotify:user:outrightmental","2019-12-11T07:39:13Z"
"spotify:track:6CcX9fLKtQwcqHwwUWOhy4","Amber","Mefjus, Skeptical","Amber","1","1","228837","spotify:user:outrightmental","2019-12-18T22:34:59Z"
"spotify:track:4rMXaguTla2fZ5ZwurmGhm","Fractured","Mefjus","Manifest","1","2","213488","spotify:user:outrightmental","2019-12-18T22:40:00Z"
"spotify:track:19MpNNLsJ8Q3wDUbtuLg7C","If I Could","Mefjus","Manifest","1","3","279069","spotify:user:outrightmental","2019-12-18T22:47:16Z"
"spotify:track:7qdsZev6vTa9mObauCXjGq","Pivot","Mefjus","Manifest","1","10","290232","spotify:user:outrightmental","2019-12-19T19:01:50Z"
"spotify:track:68A3OB5ULAu0ZpsCl9YLtv","Parallax","Signal","Parallax Ep","1","1","312464","spotify:user:outrightmental","2019-12-27T16:59:55Z"
"spotify:track:7KdZ7BKizbrxaNdH3A1ovs","Limits","Enei, Anastasia","Divided Mode EP","1","5","266066","spotify:user:outrightmental","2020-01-18T07:12:04Z"
"spotify:track:2d6NuiEi1I5wo1FPGh9Niz","Tellurian","Fre4knc","Tellurian EP","1","1","360687","spotify:user:outrightmental","2020-01-23T18:10:21Z"
"spotify:track:4QDVTIUxXCZkSKTqhHSSWZ","The Shaman","Klinical, Fre4knc","The Shaman","1","1","334883","spotify:user:outrightmental","2020-01-23T18:15:52Z"
"spotify:track:12qKaCBxMTdMhGvYYYHWIq","Frostbite - Ill Truth Remix","Revaux, Ill Truth","Lifestyle Remixed Part 2","1","1","323715","spotify:user:outrightmental","2020-02-08T04:24:46Z"
"spotify:track:2sAX7zlxYTTFjJyqwtqVBK","So Unloved","BOP","Not Your Cup Of Tea","1","2","276705","spotify:user:outrightmental","2020-02-19T19:26:49Z"
"spotify:track:0tDrlBpsmQkCQb12abeVlI","Weird Science","Phentix","Weird Science EP","1","4","301799","spotify:user:outrightmental","2020-02-20T17:47:01Z"
"spotify:track:1Nrlr5eARO9JxZthIgucdv","Don't Look Down","Break, Calyx, Teebee","Resistance","1","1","341729","spotify:user:outrightmental","2020-03-09T19:47:31Z"
"spotify:track:55EvDlNUgGvDClVJE8VuTJ","Nautilus","The Upbeats, Shapeshifter","No Sleep 'Til New Zealand","1","2","211724","spotify:user:outrightmental","2020-03-09T23:18:23Z"
"spotify:track:7b8Etg4gaTpwJRTTyZhcfk","Hyper Real","Ital Tek","Hyper Real","1","1","258158","spotify:user:outrightmental","2020-03-17T20:08:09Z"
"spotify:track:6f92T4eYLnnXryJtrVyCRZ","Querky","Commodo","Querky / Rec room","1","1","301929","spotify:user:outrightmental","2020-03-17T21:46:37Z"
"spotify:track:3GH9z8QVq3UhepMt8qddEo","Together","Breakage, David Rodigan","Together / Rain","1","1","303973","spotify:user:outrightmental","2020-03-22T00:54:22Z"
"spotify:track:4ZjOfUnS6G5fVSVAwoBail","Hollywood (feat. S.P.Y)","René LaVice, S.P.Y","Hollywood (feat. S.P.Y)","1","1","339884","spotify:user:outrightmental","2020-03-22T01:47:22Z"
"spotify:track:0YFsMdximbYfXzlqdR8s6L","For Good","Phace, Subtension","LINKED 003","1","1","299653","spotify:user:outrightmental","2020-03-22T02:38:57Z"
